,Raw_missing_cols,Percentage
55000,3,21.4286
63624,3,21.4286
68333,3,21.4286
52393,3,21.4286
54962,2,14.2857
61013,2,14.2857
57204,2,14.2857
66542,2,14.2857
61881,2,14.2857
61014,2,14.2857
57205,2,14.2857
63638,2,14.2857
63635,2,14.2857
60980,2,14.2857
66539,2,14.2857
70103,2,14.2857
63631,2,14.2857
65048,2,14.2857
53669,2,14.2857
64971,2,14.2857
66543,2,14.2857
66538,2,14.2857
57199,2,14.2857
66440,2,14.2857
57198,2,14.2857
68343,2,14.2857
53687,2,14.2857
53826,2,14.2857
64494,2,14.2857
57197,2,14.2857
68342,2,14.2857
63678,2,14.2857
63683,2,14.2857
68338,2,14.2857
50937,2,14.2857
63628,2,14.2857
68376,2,14.2857
66537,2,14.2857
56465,2,14.2857
52407,2,14.2857
52362,2,14.2857
71119,2,14.2857
72440,2,14.2857
63615,2,14.2857
68331,2,14.2857
70969,2,14.2857
56883,2,14.2857
56882,2,14.2857
66530,2,14.2857
63622,2,14.2857
56995,2,14.2857
52361,2,14.2857
57247,2,14.2857
67609,2,14.2857
49255,2,14.2857
63625,2,14.2857
57238,2,14.2857
75908,2,14.2857
55855,2,14.2857
73126,2,14.2857
57233,2,14.2857
48900,2,14.2857
66526,2,14.2857
57219,2,14.2857
55867,2,14.2857
68375,2,14.2857
57217,2,14.2857
56200,2,14.2857
57192,2,14.2857
53825,2,14.2857
63641,2,14.2857
70964,2,14.2857
55367,2,14.2857
60986,2,14.2857
57342,2,14.2857
63651,2,14.2857
60989,2,14.2857
57340,2,14.2857
57339,2,14.2857
57338,2,14.2857
57164,2,14.2857
53860,2,14.2857
60993,2,14.2857
57166,2,14.2857
60995,2,14.2857
61004,2,14.2857
49193,2,14.2857
61005,2,14.2857
71207,2,14.2857
57352,2,14.2857
57353,2,14.2857
54252,2,14.2857
55884,2,14.2857
68335,2,14.2857
61814,2,14.2857
55877,2,14.2857
56211,2,14.2857
56451,2,14.2857
61874,2,14.2857
61264,2,14.2857
54078,2,14.2857
56547,2,14.2857
56867,2,14.2857
53872,2,14.2857
57355,2,14.2857
52355,2,14.2857
56563,2,14.2857
57313,2,14.2857
57311,2,14.2857
71216,2,14.2857
61894,2,14.2857
61892,2,14.2857
61891,2,14.2857
63707,2,14.2857
63705,2,14.2857
63701,2,14.2857
57185,2,14.2857
61385,2,14.2857
63692,2,14.2857
71114,2,14.2857
57188,2,14.2857
49247,2,14.2857
65592,2,14.2857
49326,2,14.2857
61602,2,14.2857
59982,2,14.2857
63646,2,14.2857
57292,2,14.2857
57305,2,14.2857
57304,2,14.2857
63653,2,14.2857
60937,2,14.2857
57299,2,14.2857
57298,2,14.2857
71730,2,14.2857
63642,2,14.2857
59974,2,14.2857
57288,2,14.2857
57287,2,14.2857
69679,2,14.2857
49632,2,14.2857
63645,2,14.2857
56825,2,14.2857
49629,2,14.2857
51811,2,14.2857
48915,2,14.2857
51895,2,14.2857
71180,2,14.2857
53805,2,14.2857
59969,2,14.2857
75889,2,14.2857
71177,2,14.2857
63583,2,14.2857
63672,2,14.2857
75888,2,14.2857
74258,2,14.2857
75664,2,14.2857
48913,2,14.2857
48912,2,14.2857
68355,2,14.2857
74493,2,14.2857
74820,2,14.2857
71181,2,14.2857
49681,2,14.2857
74822,2,14.2857
75868,2,14.2857
70851,2,14.2857
48892,2,14.2857
70955,2,14.2857
64842,2,14.2857
70954,2,14.2857
68231,2,14.2857
63576,2,14.2857
70973,2,14.2857
48891,2,14.2857
57104,2,14.2857
68228,2,14.2857
56197,2,14.2857
75873,2,14.2857
59971,2,14.2857
53845,2,14.2857
71190,2,14.2857
67101,2,14.2857
69731,2,14.2857
70830,2,14.2857
53631,2,14.2857
75842,2,14.2857
73121,2,14.2857
71703,2,14.2857
76825,2,14.2857
53819,2,14.2857
49641,2,14.2857
49094,2,14.2857
49093,2,14.2857
57273,2,14.2857
53820,2,14.2857
72302,2,14.2857
49138,2,14.2857
57274,2,14.2857
55875,2,14.2857
73749,2,14.2857
63580,2,14.2857
49639,2,14.2857
49637,2,14.2857
55857,2,14.2857
66509,2,14.2857
74823,2,14.2857
71715,2,14.2857
56778,2,14.2857
52341,2,14.2857
74825,2,14.2857
68221,2,14.2857
74792,2,14.2857
49628,2,14.2857
63669,2,14.2857
74268,2,14.2857
74269,2,14.2857
48906,2,14.2857
49684,2,14.2857
73723,2,14.2857
71222,2,14.2857
49636,2,14.2857
63584,2,14.2857
75858,2,14.2857
56813,2,14.2857
76784,2,14.2857
53833,2,14.2857
76849,2,14.2857
53813,2,14.2857
74266,2,14.2857
76779,2,14.2857
76705,2,14.2857
71692,2,14.2857
52368,2,14.2857
54203,2,14.2857
76787,2,14.2857
57262,2,14.2857
52372,2,14.2857
59984,2,14.2857
52043,2,14.2857
49633,2,14.2857
51906,2,14.2857
68349,2,14.2857
55874,2,14.2857
51802,2,14.2857
55470,2,14.2857
71236,2,14.2857
71235,2,14.2857
56182,2,14.2857
71232,2,14.2857
51900,2,14.2857
71734,2,14.2857
66533,2,14.2857
76839,2,14.2857
54283,2,14.2857
52041,2,14.2857
54986,2,14.2857
73768,2,14.2857
74495,2,14.2857
54988,2,14.2857
75614,2,14.2857
57258,2,14.2857
63662,2,14.2857
57095,2,14.2857
71167,2,14.2857
76706,2,14.2857
69848,2,14.2857
70116,2,14.2857
55859,2,14.2857
